Code,Omschrijving,Familienaam,Familie,Voorraad Begin,Commentaar,Cat. 1,Cat. 2,Cat. 3,"Prijs
Verlies of
kapot",,Invulsheet,,,,,
323,Cordelet,Klimmateriaal,3,6,,- € ,- € ,- € ,- € ,,Err:508,,,,,
324,Helm,Klimmateriaal,3,19,,- € ,- € ,- € ,- € ,,Err:508,,,,,
325,Speleoladder 5m,Klimmateriaal,3,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
326,Speleoladder 10m,Klimmateriaal,3,2,,,,,,,Err:508,,,,,
327,Klimtouw semi-statisch 100m,Klimmateriaal,3,2,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
328,Klimtouw semi-statisch 50m,Klimmateriaal,3,3,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
329,Klimtouw statisch 100m,Klimmateriaal,3,1,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
330,Klimtouw statisch 50m,Klimmateriaal,3,7,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
331,Klimnet,Klimmateriaal,3,1,,,,,,,Err:508,,,,,
332,Oranje touw lussen,Klimmateriaal,3,43,,,,,,,Err:508,,,,,
333,Sjortouw (bol),Allerlei,16,1,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
334,Plooischop,Gereedschap,10,7,,- € ,- € ,- € ,- € ,,Err:508,,,,,
335,Sjortouw (restjes),Allerlei,16,1,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
336,"Touwladder 1,9m",Klimmateriaal,3,1,,,,,,,Err:508,,,,,
337,Bijl,Gereedschap,10,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
338,Moker,Gereedschap,10,4,,,,,,,Err:508,,,,,
339,Commandotouw dun (20 m),Klimmateriaal,3,1,,,,,,,Err:508,,,,,
340,Kleine Boogzaag,Gereedschap,10,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
341,Grote Boogzaag,Gereedschap,10,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
342,Handtakel 4 ton,Klimmateriaal,3,7,,- € ,- € ,- € ,- € ,,Err:508,,,,,
343,Voorhamer,Sportmateriaal,8,2,,,,,,,Err:508,,,,,
344,Grondboor dia 8cm,Gereedschap,10,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
345,Statief Thalassalichten,Elektrischmateriaal,4,2,,,,,,,Err:508,,,,,
346,Paintball - CO2 fles,Paintball materiaal,12,2,,,,,,,,,,,,
400,Verlengsnoer 25m op rol,Elektrischmateriaal,4,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
401,Losse verlengkabels 3m,Elektrischmateriaal,4,13,,- € ,- € ,- € ,- € ,,Err:508,,,,,
402,Verlengsnoer 10m op rol,Elektrischmateriaal,4,2,,,,,,,Err:508,,,,,
403,Losse verlengkabels 5m,Elektrischmateriaal,4,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
404,losse verlengkabels 7m,Elektrischmateriaal,4,2,,,,,,,Err:508,,,,,
405,Dominostekker,Elektrischmateriaal,4,17,,- € ,- € ,- € ,- € ,,Err:508,,,,,
406,Losse verlengkabels 10m,Elektrischmateriaal,4,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
407,Losse verlengkabel 15m,Elektrischmateriaal,4,1,,,,,,,,,,,,
408,Walkie Talkies - bereik 1km,Allerlei,16,9,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
409,Garmin Handheld GPS,Sportmateriaal,8,8,,,,,,,Err:508,,,,,
410,"Blacklight (1,2 m)",Elektrischmateriaal,4,3,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
411,Blacklight (60 cm),Elektrischmateriaal,4,1,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
412,Paintball - masker,Paintball materiaal,12,20,,- € ,- € ,- € ,- € ,,Err:508,,,,,
413,Paintball - hopper,Paintball materiaal,12,27,,- € ,- € ,- € ,- € ,,Err:508,,,,,
414,Paintball - gasfles,Paintball materiaal,12,35,,- € ,- € ,- € ,- € ,,Err:508,,,,,
415,Paintball - Overall rood,Paintball materiaal,12,18,,- € ,- € ,- € ,- € ,,Err:508,,,,,
